"Dia" "Horario" "Competição" "Mandante" "GolsMandante" "GolsVisitante" "Visitante" "Resultado" "Situação" "Minutos" "ImagemMandante" "ImagemVisitante"
"151" "13-09-2021" "15H45" "Italiano" "Bologna" 1 0 "Hellas Verona" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/bologna.png" "https://e.imguol.com/futebol/brasoes/40x40/hellas-verona.png"
"152" "13-09-2021" "16H" "Inglês" "Everton" 3 1 "Burnley" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/everton.png" "https://e.imguol.com/futebol/brasoes/40x40/burnley.png"
"153" "13-09-2021" "17H" "La Liga" "Granada-ESP" 1 2 "Betis" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/granada-esp.png" "https://e.imguol.com/futebol/brasoes/40x40/betis.png"
"154" "13-09-2021" "17H" "Série D" "Galvez-AC" 0 0 "Guarany de Sobral" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/galvez-ac.png" "https://e.imguol.com/futebol/brasoes/40x40/guarany-de-sobral.png"
"155" "13-09-2021" "20H" "Brasileirão" "Sport" 0 1 "Internacional" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/sport.png" "https://e.imguol.com/futebol/brasoes/40x40/internacional.png"
"156" "14-09-2021" "13H45" "Liga dos Campeões" "Young Boys" 2 1 "Manchester United" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/young-boys.png" "https://e.imguol.com/futebol/brasoes/40x40/manchester-united.png"
"157" "14-09-2021" "13H45" "Liga dos Campeões" "Sevilla" 1 1 "Red Bull Salzburg" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/sevilla.png" "https://e.imguol.com/futebol/brasoes/40x40/red-bull-salzburg.png"
"158" "14-09-2021" "16H" "Liga dos Campeões" "Dynamo Kiev" 0 0 "Benfica" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/dynamo-kiev.png" "https://e.imguol.com/futebol/brasoes/40x40/benfica.png"
"159" "14-09-2021" "16H" "Liga dos Campeões" "Barcelona" 0 3 "Bayern de Munique" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/barcelona.png" "https://e.imguol.com/futebol/brasoes/40x40/bayern-de-munique.png"
"160" "14-09-2021" "16H" "Liga dos Campeões" "Lille" 0 0 "Wolfsburg" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/lille.png" "https://e.imguol.com/futebol/brasoes/40x40/wolfsburg.png"
"161" "14-09-2021" "16H" "Liga dos Campeões" "Malmö FF" 0 3 "Juventus" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/malmo-ff.png" "https://e.imguol.com/futebol/brasoes/40x40/juventus.png"
"162" "14-09-2021" "16H" "Liga dos Campeões" "Chelsea" 1 0 "Zenit" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/chelsea.png" "https://e.imguol.com/futebol/brasoes/40x40/zenit.png"
"163" "14-09-2021" "16H" "Liga dos Campeões" "Villarreal" 2 2 "Atalanta" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/villarreal.png" "https://e.imguol.com/futebol/brasoes/40x40/atalanta.png"
"164" "14-09-2021" "21H30" "Copa do Brasil" "Santos" 0 1 "Athletico" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/santos.png" "https://e.imguol.com/futebol/brasoes/40x40/athletico.png"
"165" "15-09-2021" "13H45" "Liga dos Campeões" "Besiktas" 1 2 "Borussia Dortmund" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/besiktas.png" "https://e.imguol.com/futebol/brasoes/40x40/borussia-dortmund.png"
"166" "15-09-2021" "13H45" "Liga dos Campeões" "Sheriff" 2 0 "Shakhtar Donetsk" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/sheriff.png" "https://e.imguol.com/futebol/brasoes/40x40/shakhtar-donetsk.png"
